"","Country_Region","Confirmed.x","Deaths.x","MeanConfirmed","MeanDeaths","missC","missD","nullC","nullD","Confirmed.y","Deaths.y","T_Mean_C","T_Mean_D"
"43","Costa Rica",401235,5168,1099.27,14.16,0,0,0,0,401235,5168,1099.27,14.16
"44","Cote d'Ivoire",48514,577,132.92,1.58,0,0,0,0,48514,577,132.92,1.58
"45","Croatia",504408,8618,1381.94,23.61,0,0,0,0,504408,8618,1381.94,23.61
"46","Cuba",954141,8176,2614.08,22.4,0,0,0,0,954141,8176,2614.08,22.4
"47","Cyprus",144481,518,395.84,1.42,0,0,0,0,144481,518,395.84,1.42
"48","Czechia",1760378,24565,4849.53,68.24,2,5,0,0,1757068,24549,4813.88,67.26
"49","Denmark",648657,1984,1782.02,5.44,1,0,0,0,646656,1984,1771.66,5.44
"50","Diamond Princess",0,0,0,0,0,0,0,0,0,0,0,0
"51","Djibouti",7825,128,21.44,0.35,0,0,0,0,7825,128,21.44,0.35
"52","Dominica",6760,47,18.57,0.13,1,0,0,0,6726,47,18.43,0.13
"53","Dominican Republic",247993,1833,679.43,5.02,0,0,0,0,247993,1833,679.43,5.02
"54","Ecuador",337313,19647,926.68,53.83,1,0,0,0,336906,19647,923.03,53.83
"55","Egypt",247513,14121,678.12,38.69,0,0,0,0,247513,14121,678.12,38.69
"56","El Salvador",75703,2497,207.41,6.84,0,0,0,0,75703,2497,207.41,6.84
"57","Equatorial Guinea",8433,89,23.1,0.24,0,0,0,0,8433,89,23.1,0.24
"58","Eritrea",6691,73,18.33,0.2,0,0,0,0,6691,73,18.33,0.2
"59","Estonia",213418,1703,584.71,4.67,0,0,0,0,213418,1703,584.71,4.67
"60","Eswatini",56751,1098,155.48,3.01,0,0,0,0,56751,1098,155.48,3.01
"61","Ethiopia",296078,5014,811.17,13.74,0,0,0,0,296078,5014,811.17,13.74
"62","Fiji",53283,698,145.98,1.92,0,1,0,0,53283,696,145.98,1.91
"63","Finland",234407,1122,642.21,3.07,0,0,0,0,234407,1122,642.21,3.07
"64","France",7748967,59971,21288.37,164.3,1,0,0,0,7400127,59971,20274.32,164.3
"65","Gabon",32227,224,88.29,0.61,0,0,0,0,32227,224,88.29,0.61
"66","Gambia",6373,219,17.46,0.6,0,0,0,0,6373,219,17.46,0.6
"67","Georgia",707321,11295,1937.87,30.95,0,0,0,0,707321,11295,1937.87,30.95
"68","Germany",5447352,78321,15006.48,215.17,2,1,0,0,5446257,78320,14921.25,214.58
"69","Ghana",88215,960,241.68,2.63,0,0,0,0,88215,960,241.68,2.63
"70","Greece",1072003,15952,2936.99,43.7,0,0,0,0,1072003,15952,2936.99,43.7
"71","Grenada",6054,200,16.59,0.55,0,0,0,0,6054,200,16.59,0.55
"72","Guatemala",490347,11297,1343.42,31.04,0,1,0,0,490347,11294,1343.42,30.94
"73","Guinea",18329,310,50.22,0.85,0,0,0,0,18329,310,50.22,0.85
"74","Guinea-Bissau",4032,104,11.05,0.28,0,0,0,0,4032,104,11.05,0.28
"75","Guyana",33241,890,91.07,2.44,0,0,0,0,33241,890,91.07,2.44
"76","Haiti",15986,534,43.8,1.48,0,4,0,0,15986,530,43.8,1.45
"77","Holy See",0,0,0,0,0,0,0,0,0,0,0,0
"78","Honduras",257575,7304,705.68,20.07,0,1,0,0,257575,7303,705.68,20.01
"79","Hungary",933901,29649,2558.63,81.23,0,0,0,0,933901,29649,2558.63,81.23
"80","Iceland",21306,8,58.53,0.02,1,0,0,0,21305,8,58.37,0.02
"81","India",24574870,332492,67328.41,910.94,0,0,0,0,24574870,332492,67328.41,910.94
"82","Indonesia",3519522,121956,9642.53,334.13,0,0,0,0,3519522,121956,9642.53,334.13
"83","Iran",4969259,76383,13614.41,209.27,0,0,0,0,4969259,76383,13614.41,209.27
"84","Iraq",1498449,11345,4105.34,31.08,0,0,0,0,1498449,11345,4105.34,31.08
"85","Ireland",699686,3678,1932.83,10.1,3,1,0,0,696780,3675,1908.99,10.07
"86","Israel",961872,4926,2649.79,13.65,2,4,0,0,960670,4918,2631.97,13.47
"87","Italy",4018517,63243,11009.64,173.27,0,0,0,0,4018517,63243,11009.64,173.27
"88","Jamaica",81093,2171,222.17,5.95,0,0,0,0,81093,2171,222.17,5.95
"89","Japan",1496547,14897,4100.13,40.81,0,0,0,0,1496547,14897,4100.13,40.81
"90","Jordan",768911,8819,2106.61,24.16,0,0,0,0,768911,8819,2106.61,24.16
"91","Kazakhstan",930697,15743,2556.86,43.25,1,1,0,0,871322,15462,2387.18,42.36
"92","Kenya",198570,3708,544.03,10.16,0,0,0,0,198570,3708,544.03,10.16
"93","Kiribati",2,0,0.01,0,0,0,0,0,2,0,0.01,0
"94","Korea, North",0,0,0,0,0,0,0,0,0,0,0,0
"95","Korea, South",573484,4708,1571.19,12.9,0,0,0,0,573484,4708,1571.19,12.9
"96","Kosovo",110340,1658,302.3,4.54,0,0,0,0,110340,1658,302.3,4.54
"97","Kuwait",266551,1534,730.28,4.2,0,0,0,0,266551,1534,730.28,4.2
"98","Kyrgyzstan",103655,1447,283.99,3.96,0,0,0,0,103655,1447,283.99,3.96
"99","Laos",111019,372,304.16,1.02,0,0,0,0,111019,372,304.16,1.02
"100","Latvia",235770,3935,645.95,10.78,0,0,0,0,235770,3935,645.95,10.78
"101","Lebanon",546427,7651,1497.06,20.96,0,0,0,0,546427,7651,1497.06,20.96
"102","Lesotho",25314,614,69.35,1.68,0,0,0,0,25314,614,69.35,1.68
"103","Liberia",4660,301,12.84,0.83,2,1,0,0,4478,204,12.27,0.56
"104","Libya",288457,4232,790.29,11.59,0,0,0,0,288457,4232,790.29,11.59
"105","Liechtenstein",3910,25,10.71,0.07,0,0,0,0,3910,25,10.71,0.07
"106","Lithuania",379375,5597,1039.38,15.33,0,0,0,0,379375,5597,1039.38,15.33
"107","Luxembourg",57351,420,157.13,1.15,0,0,0,0,57351,420,157.13,1.15
