날짜,종가,오픈,고가,저가,거래량,변동
2022-09-27,"1,426.32","1,430.61","1,432.10","1,419.02",,-0.27%
2022-09-26,"1,430.19","1,421.30","1,435.20","1,419.35",,0.62%
2022-09-23,"1,421.34","1,407.07","1,423.80","1,404.04",,1.22%
2022-09-22,"1,404.23","1,397.72","1,414.85","1,396.35",,0.47%
2022-09-21,"1,397.71","1,392.91","1,398.85","1,388.40",,0.37%
2022-09-20,"1,392.50","1,390.33","1,395.27","1,387.26",,0.17%
2022-09-19,"1,390.08","1,385.95","1,396.46","1,384.00",,0.38%
2022-09-16,"1,384.77","1,397.70","1,399.31","1,383.20",,-0.98%
2022-09-15,"1,398.41","1,391.44","1,400.38","1,389.99",,0.53%
2022-09-14,"1,391.01","1,392.37","1,396.25","1,388.88",,-0.26%
2022-09-13,"1,394.68","1,375.25","1,395.26","1,371.40",,1.46%
2022-09-12,"1,374.63","1,380.06","1,384.24","1,373.04",,-0.37%
2022-09-09,"1,379.77","1,384.88","1,385.60","1,374.16",,-0.35%
2022-09-08,"1,384.55","1,375.39","1,387.74","1,374.41",,0.54%
2022-09-07,"1,377.11","1,378.52","1,391.28","1,377.12",,0.00%
2022-09-06,"1,377.07","1,370.53","1,381.10","1,364.35",,0.56%
2022-09-05,"1,369.39","1,363.68","1,374.99","1,361.31",,0.61%
2022-09-02,"1,361.15","1,356.79","1,364.85","1,352.23",,0.39%
2022-09-01,"1,355.82","1,341.76","1,359.49","1,341.10",,1.09%
2022-08-31,"1,341.19","1,350.55","1,352.58","1,337.60",,-0.64%
2022-08-30,"1,349.77","1,345.98","1,353.54","1,344.46",,0.31%
2022-08-29,"1,345.62","1,342.18","1,352.30","1,342.03",,0.28%
2022-08-26,"1,341.81","1,334.96","1,342.83","1,328.26",,0.56%
2022-08-25,"1,334.32","1,340.96","1,342.42","1,333.36",,-0.47%
2022-08-24,"1,340.60","1,339.54","1,344.81","1,337.75",,0.11%
2022-08-23,"1,339.17","1,343.73","1,347.01","1,334.64",,-0.32%
2022-08-22,"1,343.43","1,335.78","1,346.82","1,334.29",,0.59%
2022-08-19,"1,335.61","1,327.23","1,338.42","1,324.15",,0.66%
2022-08-18,"1,326.84","1,315.25","1,329.42","1,312.55",,0.91%
2022-08-17,"1,314.88","1,311.40","1,317.88","1,308.20",,0.29%
2022-08-16,"1,311.04","1,313.55","1,314.21","1,307.77",,0.04%
2022-08-15,"1,310.52","1,302.34","1,312.60","1,302.16",,0.71%
2022-08-12,"1,301.31","1,307.05","1,307.62","1,299.34",,-0.29%
2022-08-11,"1,305.14","1,297.54","1,305.68","1,296.48",,0.60%
2022-08-10,"1,297.33","1,307.52","1,312.06","1,297.49",,-0.67%
2022-08-09,"1,306.14","1,300.11","1,308.74","1,299.39",,0.54%
2022-08-08,"1,299.10","1,303.70","1,307.48","1,298.70",,-0.24%
2022-08-05,"1,302.24","1,302.81","1,305.85","1,294.54",,-0.01%
2022-08-04,"1,302.41","1,308.23","1,312.49","1,301.85",,-0.41%
2022-08-03,"1,307.82","1,315.30","1,315.98","1,306.40",,-0.30%
2022-08-02,"1,311.82","1,307.74","1,313.33","1,304.20",,0.34%
2022-08-01,"1,307.33","1,303.29","1,309.99","1,301.09",,0.33%
2022-07-29,"1,302.97","1,296.07","1,309.40","1,295.55",,0.58%
2022-07-28,"1,295.47","1,306.37","1,309.68","1,296.07",,-0.81%
2022-07-27,"1,306.08","1,311.03","1,316.68","1,305.74",,-0.31%
2022-07-26,"1,310.10","1,311.47","1,313.60","1,306.75",,-0.08%
2022-07-25,"1,311.12","1,310.60","1,313.97","1,307.33",,0.08%
2022-07-22,"1,310.01","1,306.66","1,316.22","1,306.22",,0.29%
2022-07-21,"1,306.16","1,313.70","1,316.88","1,306.55",,-0.53%
2022-07-20,"1,313.10","1,304.38","1,314.22","1,302.35",,0.61%
2022-07-19,"1,305.12","1,319.20","1,319.99","1,305.38",,-1.00%
2022-07-18,"1,318.30","1,319.15","1,322.13","1,312.97",,0.04%
2022-07-15,"1,317.74","1,317.57","1,329.58","1,316.60",,0.10%
2022-07-14,"1,316.41","1,305.10","1,327.31","1,303.55",,0.90%
2022-07-13,"1,304.73","1,306.45","1,310.83","1,301.75",,-0.04%
2022-07-12,"1,305.21","1,311.16","1,316.73","1,305.01",,-0.43%
2022-07-11,"1,310.81","1,294.79","1,314.39","1,294.62",,1.25%
2022-07-08,"1,294.68","1,297.97","1,303.68","1,292.29",,-0.23%
2022-07-07,"1,297.62","1,305.14","1,308.74","1,295.90",,-0.55%
2022-07-06,"1,304.79","1,309.09","1,311.02","1,302.81",,-0.32%
2022-07-05,"1,308.95","1,296.06","1,315.57","1,293.68",,1.01%
2022-07-04,"1,295.87","1,298.92","1,300.16","1,292.05",,-0.22%
2022-07-01,"1,298.67","1,288.05","1,302.81","1,287.80",,0.87%
2022-06-30,"1,287.51","1,301.96","1,304.24","1,287.35",,-1.11%
2022-06-29,"1,301.90","1,292.43","1,302.80","1,289.34",,0.76%
2022-06-28,"1,292.06","1,286.63","1,293.00","1,281.46",,0.45%
2022-06-27,"1,286.31","1,289.29","1,293.35","1,280.58",,-0.20%
2022-06-24,"1,288.89","1,300.14","1,302.32","1,288.11",,-0.84%
2022-06-23,"1,299.81","1,297.69","1,307.92","1,296.32",,0.17%
2022-06-22,"1,297.58","1,292.08","1,305.26","1,290.69",,0.45%
2022-06-21,"1,291.72","1,292.55","1,294.29","1,287.34",,0.01%
2022-06-20,"1,291.54","1,291.50","1,296.26","1,287.91",,0.02%
2022-06-17,"1,291.26","1,288.57","1,296.67","1,282.29",,0.24%
2022-06-16,"1,288.23","1,278.38","1,296.59","1,277.06",,0.81%
2022-06-15,"1,277.90","1,289.92","1,293.72","1,278.02",,-0.90%
2022-06-14,"1,289.57","1,291.88","1,292.65","1,285.25",,-0.16%
2022-06-13,"1,291.68","1,279.43","1,294.37","1,278.88",,0.97%
2022-06-10,"1,279.32","1,264.38","1,283.85","1,263.14",,1.21%
2022-06-09,"1,264.04","1,257.22","1,267.19","1,253.34",,0.58%
2022-06-08,"1,256.81","1,254.85","1,258.92","1,253.17",,0.20%
2022-06-07,"1,254.36","1,254.80","1,260.15","1,253.06",,-0.01%
2022-06-06,"1,254.45","1,251.86","1,255.70","1,248.23",,0.31%
2022-06-03,"1,250.58","1,241.14","1,252.23","1,238.47",,0.83%
2022-06-02,"1,240.32","1,247.23","1,255.04","1,240.67",,-0.53%
2022-06-01,"1,246.89","1,242.48","1,248.58","1,240.29",,0.37%
2022-05-31,"1,242.26","1,235.60","1,243.89","1,234.72",,0.60%
2022-05-30,"1,234.85","1,251.10","1,253.58","1,234.55",,-1.37%
2022-05-27,"1,251.99","1,260.29","1,262.13","1,248.85",,-0.64%
2022-05-26,"1,260.02","1,266.55","1,269.73","1,259.34",,-0.50%
2022-05-25,"1,266.41","1,261.14","1,271.95","1,260.06",,0.43%
2022-05-24,"1,261.03","1,258.87","1,266.72","1,258.21",,0.25%
2022-05-23,"1,257.88","1,270.41","1,272.97","1,258.36",,-1.23%
2022-05-20,"1,273.59","1,263.99","1,277.18","1,263.05",,0.87%
2022-05-19,"1,262.61","1,276.00","1,280.63","1,261.35",,-1.00%
2022-05-18,"1,275.33","1,266.80","1,276.98","1,263.93",,0.70%
2022-05-17,"1,266.50","1,280.64","1,281.44","1,264.02",,-1.08%
2022-05-16,"1,280.38","1,278.56","1,286.56","1,276.16",,0.15%
2022-05-13,"1,278.45","1,290.87","1,291.74","1,278.22",,-0.95%
2022-05-12,"1,290.72","1,279.14","1,293.14","1,278.47",,0.91%
2022-05-11,"1,279.03","1,276.63","1,280.55","1,272.35",,0.20%
2022-05-10,"1,276.48","1,275.01","1,278.94","1,271.37",,0.17%
2022-05-09,"1,274.28","1,270.41","1,278.35","1,270.29",,0.34%
2022-05-06,"1,269.99","1,269.56","1,276.46","1,266.98",,0.06%
2022-05-05,"1,269.20","1,251.53","1,274.36","1,250.42",,1.41%
2022-05-04,"1,251.51","1,260.95","1,267.49","1,250.61",,-0.70%
2022-05-03,"1,260.35","1,267.64","1,268.77","1,260.11",,-0.56%
2022-05-02,"1,267.51","1,264.65","1,270.75","1,262.88",,0.32%
2022-04-29,"1,263.48","1,272.41","1,272.41","1,254.87",,-0.68%
2022-04-28,"1,272.11","1,266.40","1,276.56","1,264.27",,0.46%
2022-04-27,"1,266.27","1,260.98","1,270.72","1,260.89",,0.44%
2022-04-26,"1,260.67","1,250.22","1,261.43","1,245.14",,0.85%
2022-04-25,"1,250.10","1,244.40","1,253.77","1,243.63",,0.48%
2022-04-22,"1,244.11","1,242.34","1,247.45","1,238.45",,0.10%
2022-04-21,"1,242.81","1,233.98","1,244.95","1,233.85",,0.74%
2022-04-20,"1,233.66","1,239.81","1,241.04","1,232.37",,-0.47%
2022-04-19,"1,239.53","1,235.45","1,242.67","1,233.17",,0.35%
2022-04-18,"1,235.22","1,229.08","1,235.81","1,228.88",,0.57%
2022-04-15,"1,228.19","1,230.26","1,232.11","1,227.01",,-0.16%
2022-04-14,"1,230.15","1,223.36","1,231.57","1,222.61",,0.57%
2022-04-13,"1,223.23","1,228.15","1,231.69","1,221.71",,-0.39%
2022-04-12,"1,228.08","1,234.90","1,238.63","1,224.52",,-0.51%
2022-04-11,"1,234.32","1,228.95","1,236.81","1,228.94",,0.42%
2022-04-08,"1,229.19","1,222.76","1,230.86","1,221.29",,0.54%
2022-04-07,"1,222.55","1,217.60","1,223.95","1,216.37",,0.42%
2022-04-06,"1,217.48","1,218.82","1,221.95","1,215.85",,-0.06%
2022-04-05,"1,218.22","1,214.49","1,220.31","1,210.31",,0.37%
2022-04-04,"1,213.75","1,219.80","1,220.26","1,213.54",,-0.49%
2022-04-01,"1,219.73","1,215.13","1,220.27","1,214.39",,0.46%
2022-03-31,"1,214.17","1,210.51","1,215.47","1,208.16",,0.32%
2022-03-30,"1,210.31","1,208.19","1,213.22","1,207.06",,0.25%
