"","Country_Region","Confirmed.x","Deaths.x","DeathRatio"
"128","Netherlands",2374752,9867,0.42
"160","Singapore",220806,799,0.36
"47","Cyprus",144481,518,0.36
"4","Andorra",15691,56,0.36
"145","Qatar",106694,373,0.35
"10","Australia",397071,1346,0.34
"99","Laos",111019,372,0.34
"49","Denmark",648657,1984,0.31
"121","Mongolia",691426,1985,0.29
"187","United Arab Emirates",554115,1495,0.27
"111","Maldives",81943,214,0.26
"38","China",25325,67,0.26
"134","Norway",344692,871,0.25
"129","New Zealand",11961,22,0.18
"21","Bhutan",1990,3,0.15
"30","Burundi",26548,36,0.14
"80","Iceland",21306,8,0.04
"170","Summer Olympics 2020",865,0,0
"6","Antarctica",11,0,0
"137","Palau",10,0,0
"163","Solomon Islands",7,0,0
"93","Kiribati",2,0,0
"118","Micronesia",1,0,0
"152","Samoa",1,0,0
"181","Tonga",1,0,0
"50","Diamond Princess",0,0,NA
"77","Holy See",0,0,NA
"94","Korea, North",0,0,NA
"114","Marshall Islands",0,0,NA
"125","MS Zaandam",0,0,NA
"196","Winter Olympics 2022",0,0,NA
