,12-31-2020,12-31-2020,12-31-2021,12-31-2021
,Confirmed,Deaths,Confirmed,Deaths
Country_Region,,,,
Netherlands,808382.0,11525.0,2374752.0,9867.0
New Zealand,2162.0,26.0,11958.0,22.0
Nicaragua,4829.0,165.0,8734.0,52.0
Niger,3323.0,104.0,4082.0,171.0
Nigeria,87607.0,1289.0,153906.0,1741.0
North Macedonia,83329.0,2503.0,141720.0,5457.0
Norway,49567.0,436.0,344692.0,869.0
Oman,128867.0,1499.0,176622.0,2617.0
Pakistan,482178.0,10176.0,813755.0,18757.0
Palau,0.0,0.0,10.0,0.0
Panama,246790.0,4022.0,249130.0,3406.0
Papua New Guinea,780.0,9.0,35378.0,581.0
Paraguay,107932.0,2262.0,358169.0,14362.0
Peru,1015137.0,93070.0,1281694.0,109620.0
Philippines,474064.0,9244.0,2369915.0,42260.0
Poland,1294878.0,28554.0,2813337.0,68500.0
Portugal,413678.0,6906.0,975968.0,12049.0
Qatar,143834.0,245.0,106694.0,373.0
Romania,632263.0,15767.0,1176628.0,42985.0
Russia,3127347.0,56271.0,7193058.0,246400.0
Rwanda,8383.0,92.0,103403.0,1258.0
Saint Kitts and Nevis,32.0,0.0,2967.0,28.0
Saint Lucia,353.0,5.0,13217.0,290.0
Saint Vincent and the Grenadines,121.0,0.0,5729.0,81.0
Samoa,2.0,0.0,1.0,0.0
San Marino,2333.0,59.0,5869.0,41.0
Sao Tome and Principe,1014.0,17.0,2883.0,40.0
Saudi Arabia,362741.0,6223.0,193495.0,2654.0
Senegal,19140.0,410.0,55915.0,1480.0
Serbia,337923.0,3211.0,961416.0,9503.0
Seychelles,226.0,0.0,24562.0,134.0
Sierra Leone,2611.0,76.0,4453.0,47.0
Singapore,58599.0,29.0,220806.0,799.0
Slovakia,274603.0,2138.0,1096479.0,14497.0
Slovenia,122152.0,2697.0,341896.0,2892.0
Solomon Islands,17.0,0.0,7.0,0.0
Somalia,4714.0,130.0,18818.0,1203.0
South Africa,1057161.0,28469.0,2401125.0,62676.0
South Sudan,3558.0,63.0,11684.0,72.0
Spain,1928265.0,50837.0,4366480.0,38568.0
Sri Lanka,43299.0,204.0,543946.0,14775.0
Sudan,25500.0,1468.0,21018.0,1863.0
Summer Olympics 2020,0.0,0.0,865.0,0.0
Suriname,6210.0,122.0,46236.0,1067.0
Sweden,437379.0,8727.0,877405.0,6583.0
Switzerland,452296.0,7873.0,880319.0,4344.0
Syria,11434.0,711.0,38844.0,2186.0
Taiwan*,799.0,7.0,16230.0,843.0
Tajikistan,13665.0,90.0,3828.0,35.0
Tanzania,509.0,21.0,28797.0,716.0
Thailand,6884.0,61.0,2216551.0,21637.0
Timor-Leste,44.0,0.0,19793.0,122.0
Togo,3633.0,68.0,26530.0,180.0
Tonga,0.0,0.0,1.0,0.0
Trinidad and Tobago,7150.0,127.0,84749.0,2742.0
Tunisia,139140.0,4676.0,587566.0,20893.0
Turkey,2208652.0,20881.0,7273898.0,61480.0
US,20194713.0,349938.0,34645729.0,475132.0
Uganda,35216.0,251.0,105521.0,3043.0
Ukraine,1086997.0,19281.0,2760229.0,82807.0
United Arab Emirates,207822.0,669.0,554115.0,1495.0
United Kingdom,2496187.0,95008.0,10514666.0,82470.0
Uruguay,19119.0,181.0,394264.0,5989.0
Uzbekistan,77060.0,614.0,121843.0,871.0
Vanuatu,1.0,0.0,6.0,1.0
Venezuela,113558.0,1028.0,331077.0,4300.0
Vietnam,1465.0,35.0,1729792.0,32359.0
West Bank and Gaza,138004.0,1400.0,331744.0,3519.0
Winter Olympics 2022,0.0,0.0,0.0,0.0
Yemen,2099.0,610.0,8027.0,1374.0
Zambia,20725.0,388.0,233549.0,3346.0
Zimbabwe,13867.0,363.0,199391.0,4641.0
